PLOT_ID,POINT_X,POINT_Y,AGB_T_HA,AVG_YEAR,SIZE_HA
EU2,-1.272181405,41.87164007,0,2005,0.196
EU2,-2.616476,41.52327498,84.95090071,2003,0.196
EU2,-2.532521483,38.08122214,36.57669503,2004,0.196
EU2,-7.022990504,39.49815504,14.66710769,2001,0.196
EU2,1.311127039,41.94381817,23.65397656,2000,0.196
EU2,0.002762141,42.57445472,253.1979795,2004,0.196
EU2,-3.196206235,42.97371296,30.86028084,2003,0.196
EU2,-2.003390745,40.06028329,43.42196674,2003,0.196
EU2,-3.375843799,42.26183715,52.84405425,2003,0.196
EU2,-2.25362389,42.836374,74.30767737,2005,0.196
EU2,-1.248212771,39.79006573,42.95731561,2003,0.196
EU2,-4.688364635,39.58379203,25.1591305,2005,0.196
EU2,-4.144019385,43.16626462,46.30459775,2000,0.196
EU2,2.890711772,42.36146583,49.38925749,2001,0.196
EU2,-0.145731686,41.02016528,28.67392749,2005,0.196
EU2,-0.595997573,42.35431913,44.11959914,2004,0.196
EU2,-5.414153999,40.03040337,36.60547419,2001,0.196
EU2,-0.275888399,40.45588526,46.51793211,2006,0.196
EU2,-5.357412006,36.55355302,84.60349371,2007,0.196
EU2,-0.524005316,42.64094184,35.03270193,2004,0.196
EU2,2.337885749,41.8102278,58.73527867,2000,0.196
EU2,-2.428573415,38.25199624,31.1357764,2004,0.196
EU2,-1.479112597,39.37888128,27.35549933,2004,0.196
EU2,-4.063686271,42.7888408,33.48895974,2000,0.196
EU2,-2.964483948,40.71320799,30.93984697,2003,0.196
EU2,2.364094386,41.59421259,73.53836774,2000,0.196
EU2,-4.561403675,38.58542671,25.39747613,2004,0.196
EU2,-4.678625806,39.17849435,33.95545861,2001,0.196
EU2,-0.70496816,40.3210827,87.23672935,2005,0.196
EU2,2.457198625,41.9369453,75.54628113,2001,0.196
EU2,-5.57826929,40.34213583,41.22754823,2002,0.196
EU2,-2.46305644,38.2251225,25.33052461,2006,0.196
EU2,-5.630061853,40.76430715,98.95934566,2002,0.196
EU2,-0.61583122,42.47179887,40.22952199,2004,0.196
EU2,-3.251618914,38.30719094,3.356270295,2006,0.196
EU2,-1.196386704,39.08652637,25.27331724,2006,0.196
EU2,0.983691497,42.37980676,161.0119843,2001,0.196
EU2,-4.426137798,40.41613996,48.58233962,2002,0.196
EU2,-3.1532028,40.40681724,38.99914468,2000,0.196
EU2,0.226997545,41.06718283,38.33383087,2000,0.196
EU2,-2.566486679,41.8293313,36.05621195,2003,0.196
